label	text_a
1	请问这机不是有个遥控器的吗？
1	发短信特别不方便！背后的屏幕很大用起来不舒服，是手触屏的！切换屏幕很麻烦！
1	手感超好，而且黑色相比白色在转得时候不容易眼花，找童年的记忆啦。
1	！！！！！
1	先付款的   有信用
1	价格质量售后都很满意
1	书的质量和印刷都不错，字的大小也刚刚好，很清楚，喜欢
1	超级值得看的一个电影
1	今天突然看到卓越有卖这个的，可是韩国不是卖没有了吗。虽然是引进版的，可是之前也卖没有了。卓越从哪里找出来的啊
1	江大，继续写
1	还不错，得多跟着练才能跟的上~~
1	我前天两本一起买还是42.8元的，怎么一下子就降价了。。。。但书还是对我有很大帮助的。而且发货速度很快，隔天就到了~！
1	内容自不必细说，80后的人都知道，质量比较好，虽然不是尽善尽美，但企事业算是不错了。
1	不是的话，看了这本书后我相信那就是真有时间隧道。
1	发货迅速，书的质量也很好~很满意~
1	作为一本指导性质的编程类书籍，这本书将各种设计模式演绎的淋漓尽致，通俗易懂，看后使人获益匪浅！设计模式只是开始，要真正的会用、用好还是需要实际的磨练。
1	绝对不容错过的收藏！
1	出售和购买盗版都是违法行为，你们还敢随便在这里瞎起哄。自己想想自己像是什么人吧
1	不知道拨号数字大不大，话筒音量大不大。。。。
1	神秘园的曲子总是能打动每一个人心中最真的地方，太好听了~
1	上次买五月天的专辑和几本书，我特别说明了要包装牢固，joyo用了一个箱子，我很感动。这次也是cd和几本书，也是有包装的特别说明，结果竟然只有胶带，气死我了！还好，没有破损，要不然对不起布兰妮啊！joyo的服务怎么每况愈下呢？
1	挺好！有空我也去听听！
1	鸟哥就是鸟哥。书对我这linux的初学者来说很有帮助。可惜 少有时间看
1	发货很即时，很快
1	第一眼看到这款手机太喜欢了,而且价格也不贵.朋友有很多都买了新手机,我也想买,但现在我的手机还好好的,真的很想要.没办法,继续关注吧!!!!!!!!!!!
1	非常不错的一部歌舞电影！很青春！
1	四天左右到的货，书很整洁
1	用起来很不错，没有出现问题，价格也不贵
1	挺不错。老狼还是没有什么变化，听他的歌永远能让人想起自己的纯真年代
1	结合电影来教学，如果碰到你喜欢的电影，那效率真不是一般的高呀！
1	不错的一本书，很实用，会继续购买其他系列的
1	游戏品质就不用多说了希望星空可以顶住,以后带给我们更多精彩的欧美奇幻游戏
1	风扇质量不错，就是有点吵！呵呵，我把前面的转扇壳子拆了，现在安静多了。静音！
1	都说哥们有点极端！我觉得这才叫爱憎分明！
1	什么时间有货啊？我订了一个，但是还订了洗发用品。送来的时候洗发的洒了一半，只能全部退回了。什么时间有货，我要订购！
1	《怎样营销》这本书确实不错，以作者的亲身实例来解读营销这一过程。书中的讲解通俗易懂，不过践行起来很困难。但是如果哪位营销人员能够完全复制乔.吉拉德的成功经历，那么他也会取得和乔一样的成功。
1	很喜欢high school musical，我已经买了两部的牒了，但是第3部到现在还没有啊！！
1	降价吧~~~~~~~~~~~~，等待
1	自动查杀病毒，资源占用小，内存占用率比较低.
